Id,States,Rainfall,Ground Water,Temperature,Soil type,Season,Crops,Fertilisers required,Cost of cultivation,Expected revenues,Quantity of seeds per hectare,Duration of cultivation,Demand of crop,Crops for mixed cropping
28,Uttar Pradesh,134.65,6,27.5,Clayey,Kharif,Millet Nandi-65 (MH-1549),"Nitrogen,Magnesium,Potassium,Phosphorus",21570,59556.38316,5kg,65-70,Moderate,"Black gram, Moong, Cowpea, Sorghum"
29,Uttar Pradesh,134.65,6,27.5,Black,Kharif,Millet Nandi-65 (MH-1549),"Nitrogen,Magnesium,Potassium,Phosphorus",21570,59556.38316,5kg,65-70,Moderate,"Black gram, Moong, Cowpea, Sorghum"
30,West Bengal,250,9,27.5,Clayey,Kharif,Millet Nandi-65 (MH-1549),"Nitrogen,Magnesium,Potassium,Phosphorus",21570,59556.38316,5kg,65-70,Moderate,"Black gram, Moong, Cowpea, Sorghum"
31,West Bengal,250,9,27.5,Black,Kharif,Millet Nandi-65 (MH-1549),"Nitrogen,Magnesium,Potassium,Phosphorus",21570,59556.38316,5kg,65-70,Moderate,"Black gram, Moong, Cowpea, Sorghum"
32,Dadra Nagar Haveli and Daman and Diu,89,2,27.5,Clayey,Kharif,Millet Nandi-65 (MH-1549),"Nitrogen,Magnesium,Potassium,Phosphorus",21570,59556.38316,5kg,65-70,Moderate,"Black gram, Moong, Cowpea, Sorghum"
33,Dadra Nagar Haveli and Daman and Diu,89,2,27.5,Black,Kharif,Millet Nandi-65 (MH-1549),"Nitrogen,Magnesium,Potassium,Phosphorus",21570,59556.38316,5kg,65-70,Moderate,"Black gram, Moong, Cowpea, Sorghum"
34,Andhra Pradesh,110.75,9.74,20,Alluvial,rabi,Lentil Pant Lentil-8(Pant L-063),"Phosphate,Nitrogen","15, 824","21,136",60kg,45-60,Moderate,"Barley, Wheat, Oats, Linseed"
35,Andhra Pradesh,110.75,9.74,20,Black,rabi,Lentil Pant Lentil-8(Pant L-063),"Phosphate,Nitrogen","15, 824","21,136",60kg,45-60,Moderate,"Barley, Wheat, Oats, Linseed"
36,Bihar,125.6,7.5,20,Alluvial,rabi,Lentil Pant Lentil-8(Pant L-063),"Phosphate,Nitrogen","15, 824","21,136",60kg,45-60,Moderate,"Barley, Wheat, Oats, Linseed"
37,Bihar,125.6,7.5,20,Black,rabi,Lentil Pant Lentil-8(Pant L-063),"Phosphate,Nitrogen","15, 824","21,136",60kg,45-60,Moderate,"Barley, Wheat, Oats, Linseed"
38,Himachal Pradesh,127.5,22,20,Alluvial,rabi,Lentil Pant Lentil-8(Pant L-063),"Phosphate,Nitrogen","15, 824","21,136",60kg,45-60,Moderate,"Barley, Wheat, Oats, Linseed"
39,Himachal Pradesh,127.5,22,20,Black,rabi,Lentil Pant Lentil-8(Pant L-063),"Phosphate,Nitrogen","15, 824","21,136",60kg,45-60,Moderate,"Barley, Wheat, Oats, Linseed"
40,Madhya Pradesh,235.5,22,20,Alluvial,rabi,Lentil Pant Lentil-8(Pant L-063),"Phosphate,Nitrogen","15, 824","21,136",60kg,45-60,Moderate,"Barley, Wheat, Oats, Linseed"
41,Madhya Pradesh,235.5,22,20,Black,rabi,Lentil Pant Lentil-8(Pant L-063),"Phosphate,Nitrogen","15, 824","21,136",60kg,45-60,Moderate,"Barley, Wheat, Oats, Linseed"
42,Andhra Pradesh,110.75,9.74,30,Latterite,Kharif,Bajra,"Nitrogen,Phosphorus,Potash",8000,70414.47817,4.5kg,45-50,Moderate,"Black gram, Moong, Cowpea, Sorghum"
43,Andhra Pradesh,110.75,9.74,30,Black,Kharif,Bajra,"Nitrogen,Phosphorus,Potash",8000,70414.47817,4.5kg,45-50,Moderate,"Black gram, Moong, Cowpea, Sorghum"
44,Haryana,47.5,15,30,Latterite,Kharif,Bajra,"Nitrogen,Phosphorus,Potash",8000,70414.47817,4.5kg,45-50,Moderate,"Black gram, Moong, Cowpea, Sorghum"
45,Haryana,47.5,15,30,Black,Kharif,Bajra,"Nitrogen,Phosphorus,Potash",8000,70414.47817,4.5kg,45-50,Moderate,"Black gram, Moong, Cowpea, Sorghum"
46,Madhya Pradesh,235.5,22,30,Latterite,Kharif,Bajra,"Nitrogen,Phosphorus,Potash",8000,70414.47817,4.5kg,45-50,Moderate,"Black gram, Moong, Cowpea, Sorghum"
47,Madhya Pradesh,235.5,22,30,Black,Kharif,Bajra,"Nitrogen,Phosphorus,Potash",8000,70414.47817,4.5kg,45-50,Moderate,"Black gram, Moong, Cowpea, Sorghum"
48,Manipur,148.8,4,30,Latterite,Kharif,Bajra,"Nitrogen,Phosphorus,Potash",8000,70414.47817,4.5kg,45-50,Moderate,"Black gram, Moong, Cowpea, Sorghum"
49,Manipur,148.8,4,30.5,Black,Kharif,Bajra,"Nitrogen,Phosphorus,Potash",8000,70414.47817,4.5kg,45-50,Moderate,"Black gram, Moong, Cowpea, Sorghum"
50,Odisha,215,5,30,Latterite,Kharif,Bajra,"Nitrogen,Phosphorus,Potash",8000,70414.47817,4.5kg,45-50,Moderate,"Black gram, Moong, Cowpea, Sorghum"
51,Odisha,215,5,30.5,Black,Kharif,Bajra,"Nitrogen,Phosphorus,Potash",8000,70414.47817,4.5kg,45-50,Moderate,"Black gram, Moong, Cowpea, Sorghum"
52,Punjab,60,8.9,30,Latterite,Kharif,Bajra,"Nitrogen,Phosphorus,Potash",8000,70414.47817,4.5kg,45-50,Moderate,"Black gram, Moong, Cowpea, Sorghum"
53,Punjab,60,8.9,30.5,Black,Kharif,Bajra,"Nitrogen,Phosphorus,Potash",8000,70414.47817,4.5kg,45-50,Moderate,"Black gram, Moong, Cowpea, Sorghum"
54,Sikkim,299.5,50,30,Latterite,Kharif,Bajra,"Nitrogen,Phosphorus,Potash",8000,70414.47817,4.5kg,45-50,Moderate,"Black gram, Moong, Cowpea, Sorghum"
55,Sikkim,299.5,50,30,Black,Kharif,Bajra,"Nitrogen,Phosphorus,Potash",8000,70414.47817,4.5kg,45-50,Moderate,"Black gram, Moong, Cowpea, Sorghum"
56,Uttarakhand,164.5,7.5,30,Latterite,Kharif,Bajra,"Nitrogen,Phosphorus,Potash",8000,70414.47817,4.5kg,45-50,Moderate,"Black gram, Moong, Cowpea, Sorghum"
57,Uttarakhand,164.5,7.5,30,Black,Kharif,Bajra,"Nitrogen,Phosphorus,Potash",8000,70414.47817,4.5kg,45-50,Moderate,"Black gram, Moong, Cowpea, Sorghum"
58,Andaman and Nicobar Island,277,3.5,30,Latterite,Kharif,Bajra,"Nitrogen,Phosphorus,Potash",8000,70414.47817,4.5kg,45-50,Moderate,"Black gram, Moong, Cowpea, Sorghum"
59,Andaman and Nicobar Island,277,3.5,30,Black,Kharif,Bajra,"Nitrogen,Phosphorus,Potash",8000,70414.47817,4.5kg,45-50,Moderate,"Black gram, Moong, Cowpea, Sorghum"
60,Chandigarh,105.5,28,30,Latterite,Kharif,Bajra,"Nitrogen,Phosphorus,Potash",8000,70414.47817,4.5kg,45-50,Moderate,"Black gram, Moong, Cowpea, Sorghum"
61,Chandigarh,105.5,28,30,Black,Kharif,Bajra,"Nitrogen,Phosphorus,Potash",8000,70414.47817,4.5kg,45-50,Moderate,"Black gram, Moong, Cowpea, Sorghum"
62,Pudducherry,137.5,12.3,30,Latterite,Kharif,Bajra,"Nitrogen,Phosphorus,Potash",8000,70414.47817,4.5kg,45-50,Moderate,"Black gram, Moong, Cowpea, Sorghum"
63,Pudducherry,137.5,12.3,30,Black,Kharif,Bajra,"Nitrogen,Phosphorus,Potash",8000,70414.47817,4.5kg,45-50,Moderate,"Black gram, Moong, Cowpea, Sorghum"
64,Andhra Pradesh,110.75,9.74,22.5,Latterite,Kharif,Cardamom,NPK,"50,000","1,45,000",625g,730-735,Low,"Black Pepper, Arecanut, Coffee"
65,Andhra Pradesh,110.75,9.74,22.5,Alluvial,Kharif,Cardamom,NPK,"50,000","1,45,000",625g,730-735,Low,"Black Pepper, Arecanut, Coffee"
66,Andhra Pradesh,110.75,9.74,22.5,Red,Kharif,Cardamom,NPK,"50,000","1,45,000",625g,730-735,Low,"Black Pepper, Arecanut, Coffee"
67,Haryana,47.5,15,22.5,Latterite,Kharif,Cardamom,NPK,"50,000","1,45,000",625g,730-735,Low,"Black Pepper, Arecanut, Coffee"
68,Haryana,47.5,15,22.5,Alluvial,Kharif,Cardamom,NPK,"50,000","1,45,000",625g,730-735,Low,"Black Pepper, Arecanut, Coffee"
69,Haryana,47.5,15,22.5,Latterite,Kharif,Cardamom,NPK,"50,000","1,45,000",625g,730-735,Low,"Black Pepper, Arecanut, Coffee"
70,Haryana,47.5,15,22.5,Alluvial,Kharif,Cardamom,NPK,"50,000","1,45,000",625g,730-735,Low,"Black Pepper, Arecanut, Coffee"
71,Haryana,47.5,15,22.5,Red,Kharif,Cardamom,NPK,"50,000","1,45,000",625g,730-735,Low,"Black Pepper, Arecanut, Coffee"
72,Himachal Pradesh,127.5,22,22.5,Latterite,Kharif,Cardamom,NPK,"50,000","1,45,000",625g,730-735,Low,"Black Pepper, Arecanut, Coffee"
73,Himachal Pradesh,127.5,22,23,Alluvial,Kharif,Cardamom,NPK,"50,000","1,45,000",625g,730-735,Low,"Black Pepper, Arecanut, Coffee"
74,Himachal Pradesh,127.5,22,22.5,Red,Kharif,Cardamom,NPK,"50,000","1,45,000",625g,730-735,Low,"Black Pepper, Arecanut, Coffee"
75,Karnataka,121.4,22,22.5,Latterite,Kharif,Cardamom,NPK,"50,000","1,45,000",625g,730-735,Low,"Black Pepper, Arecanut, Coffee"
76,Karnataka,121.4,22,22.5,Alluvial,Kharif,Cardamom,NPK,"50,000","1,45,000",625g,730-735,Low,"Black Pepper, Arecanut, Coffee"
77,Karnataka,121.4,22,22.5,Red,Kharif,Cardamom,NPK,"50,000","1,45,000",625g,730-735,Low,"Black Pepper, Arecanut, Coffee"
78,Manipur,148.8,4,22.5,Latterite,Kharif,Cardamom,NPK,"50,000","1,45,000",625g,730-735,Low,"Black Pepper, Arecanut, Coffee"
79,Manipur,148.8,4,23,Alluvial,Kharif,Cardamom,NPK,"50,000","1,45,000",625g,730-735,Low,"Black Pepper, Arecanut, Coffee"
80,Manipur,148.8,4,22.5,Red,Kharif,Cardamom,NPK,"50,000","1,45,000",625g,730-735,Low,"Black Pepper, Arecanut, Coffee"
81,Meghalaya,117.5,4,22.5,Latterite,Kharif,Cardamom,NPK,"50,000","1,45,000",625g,730-735,Low,"Black Pepper, Arecanut, Coffee"
82,Meghalaya,117.5,4,22.5,Alluvial,Kharif,Cardamom,NPK,"50,000","1,45,000",625g,730-735,Low,"Black Pepper, Arecanut, Coffee"
83,Meghalaya,117.5,4,22.5,Red,Kharif,Cardamom,NPK,"50,000","1,45,000",625g,730-735,Low,"Black Pepper, Arecanut, Coffee"
84,Nagaland,215,18.1,22.5,Latterite,Kharif,Cardamom,NPK,"50,000","1,45,000",625g,730-735,Low,"Black Pepper, Arecanut, Coffee"
85,Nagaland,215,18.1,22.5,Alluvial,Kharif,Cardamom,NPK,"50,000","1,45,000",625g,730-735,Low,"Black Pepper, Arecanut, Coffee"
86,Nagaland,215,18.1,22.5,Red,Kharif,Cardamom,NPK,"50,000","1,45,000",625g,730-735,Low,"Black Pepper, Arecanut, Coffee"
87,Sikkim,299.5,50,22.5,Latterite,Kharif,Cardamom,NPK,"50,000","1,45,000",625g,730-735,Low,"Black Pepper, Arecanut, Coffee"
88,Sikkim,299.5,50,22.5,Alluvial,Kharif,Cardamom,NPK,"50,000","1,45,000",625g,730-735,Low,"Black Pepper, Arecanut, Coffee"
89,Sikkim,299.5,50,22.5,Red,Kharif,Cardamom,NPK,"50,000","1,45,000",625g,730-735,Low,"Black Pepper, Arecanut, Coffee"
90,Tamil Nadu,145,16.67,22.5,Latterite,Kharif,Cardamom,NPK,"50,000","1,45,000",625g,730-735,Low,"Black Pepper, Arecanut, Coffee"
91,Tamil Nadu,145,16.67,22.5,Alluvial,Kharif,Cardamom,NPK,"50,000","1,45,000",625g,730-735,Low,"Black Pepper, Arecanut, Coffee"
92,Tamil Nadu,145,16.67,22.5,Red,Kharif,Cardamom,NPK,"50,000","1,45,000",625g,730-735,Low,"Black Pepper, Arecanut, Coffee"
93,Tripura,238.5,6.7,22.5,Latterite,Kharif,Cardamom,NPK,"50,000","1,45,000",625g,730-735,Low,"Black Pepper, Arecanut, Coffee"
94,Tripura,238.5,6.7,22.5,Alluvial,Kharif,Cardamom,NPK,"50,000","1,45,000",625g,730-735,Low,"Black Pepper, Arecanut, Coffee"
95,Tripura,238.5,6.7,22.5,Red,Kharif,Cardamom,NPK,"50,000","1,45,000",625g,730-735,Low,"Black Pepper, Arecanut, Coffee"
96,Andaman and Nicobar Island,277,3.5,22.5,Latterite,Kharif,Cardamom,NPK,"50,000","1,45,000",625g,730-735,Low,"Black Pepper, Arecanut, Coffee"
97,Andaman and Nicobar Island,277,3.5,22.5,Alluvial,Kharif,Cardamom,NPK,"50,000","1,45,000",625g,730-735,Low,"Black Pepper, Arecanut, Coffee"
98,Andaman and Nicobar Island,277,3.5,22.5,Red,Kharif,Cardamom,NPK,"50,000","1,45,000",625g,730-735,Low,"Black Pepper, Arecanut, Coffee"
99,Delhi,90,6.7,22.5,Latterite,Kharif,Cardamom,NPK,"50,000","1,45,000",625g,730-735,Low,"Black Pepper, Arecanut, Coffee"
100,Delhi,90,6.7,22.5,Alluvial,Kharif,Cardamom,NPK,"50,000","1,45,000",625g,730-735,Low,"Black Pepper, Arecanut, Coffee"
101,Delhi,90,6.7,22.5,Red,Kharif,Cardamom,NPK,"50,000","1,45,000",625g,730-735,Low,"Black Pepper, Arecanut, Coffee"
102,Lakshadweep,30,3.8,22.5,Latterite,Kharif,Cardamom,NPK,"50,000","1,45,000",625g,730-735,Low,"Black Pepper, Arecanut, Coffee"
103,Lakshadweep,30,3.8,22.5,Alluvial,Kharif,Cardamom,NPK,"50,000","1,45,000",625g,730-735,Low,"Black Pepper, Arecanut, Coffee"
104,Lakshadweep,30,3.8,22.5,Red,Kharif,Cardamom,NPK,"50,000","1,45,000",625g,730-735,Low,"Black Pepper, Arecanut, Coffee"
105,Andhra Pradesh,110.75,9.74,30,Latterite,Kharif,Urad,NPK,"15, 136","24,764",17.5kg,70-85,Moderate,Maize
106,Andhra Pradesh,110.75,9.74,30,Black,Kharif,Urad,NPK,"15, 136","24,764",17.5kg,70-85,Moderate,Maize
107,Arunachal Pradesh,325,5,30,Latterite,Kharif,Urad,NPK,"15, 136","24,764",17.5kg,70-85,Moderate,Maize
108,Arunachal Pradesh,325,5,30,Black,Kharif,Urad,NPK,"15, 136","24,764",17.5kg,70-85,Moderate,Maize
109,Bihar,125.6,7.5,30,Latterite,Kharif,Urad,NPK,"15, 136","24,764",17.5kg,70-85,Moderate,Maize
110,Bihar,125.6,7.5,30,Black,Kharif,Urad,NPK,"15, 136","24,764",17.5kg,70-85,Moderate,Maize
111,Haryana,47.5,15,30,Latterite,Kharif,Urad,NPK,"15, 136","24,764",17.5kg,70-85,Moderate,Maize
112,Haryana,47.5,15,30,Black,Kharif,Urad,NPK,"15, 136","24,764",17.5kg,70-85,Moderate,Maize
113,Madhya Pradesh,235.5,22,30,Latterite,Kharif,Urad,NPK,"15, 136","24,764",17.5kg,70-85,Moderate,Maize
114,Madhya Pradesh,235.5,22,30.5,Black,Kharif,Urad,NPK,"15, 136","24,764",17.5kg,70-85,Moderate,Maize
115,Manipur,148.8,4,30,Latterite,Kharif,Urad,NPK,"15, 136","24,764",17.5kg,70-85,Moderate,Maize
116,Manipur,148.8,4,30.5,Black,Kharif,Urad,NPK,"15, 136","24,764",17.5kg,70-85,Moderate,Maize
117,Punjab,60,8.9,30,Latterite,Kharif,Urad,NPK,"15, 136","24,764",17.5kg,70-85,Moderate,Maize
118,Punjab,60,8.9,30.5,Black,Kharif,Urad,NPK,"15, 136","24,764",17.5kg,70-85,Moderate,Maize
119,Sikkim,299.5,50,30,Latterite,Kharif,Urad,NPK,"15, 136","24,764",17.5kg,70-85,Moderate,Maize
120,Sikkim,299.5,50,30,Black,Kharif,Urad,NPK,"15, 136","24,764",17.5kg,70-85,Moderate,Maize
121,Andaman and Nicobar Island,277,3.5,30,Latterite,Kharif,Urad,NPK,"15, 136","24,764",17.5kg,70-85,Moderate,Maize
122,Andaman and Nicobar Island,277,3.5,30,Black,Kharif,Urad,NPK,"15, 136","24,764",17.5kg,70-85,Moderate,Maize
123,Chandigarh,105.5,28,30,Latterite,Kharif,Urad,NPK,"15, 136","24,764",17.5kg,70-85,Moderate,Maize
124,Chandigarh,105.5,28,30,Black,Kharif,Urad,NPK,"15, 136","24,764",17.5kg,70-85,Moderate,Maize
125,Andhra Pradesh,110.75,9.74,29.5,Alluvial,Kharif,Jowar,"Nitrogen,O2P5",8000,10974.06918,38kg,65-75,Moderate,"Black gram, Moong, Cowpea, Sorghum"
126,Andhra Pradesh,110.75,9.74,29.5,Black,Kharif,Jowar,"Nitrogen,O2P5",8000,10974.06918,38kg,65-75,Moderate,"Black gram, Moong, Cowpea, Sorghum"
127,Bihar,125.6,7.5,29.5,Alluvial,Kharif,Jowar,"Nitrogen,O2P5",8000,10974.06918,38kg,65-75,Moderate,"Black gram, Moong, Cowpea, Sorghum"
128,Chhatisgarh,130.4,5,29.5,Alluvial,Kharif,Jowar,"Nitrogen,O2P5",8000,10974.06918,38kg,65-75,Moderate,"Black gram, Moong, Cowpea, Sorghum"
129,Goa,295,13,29.5,Alluvial,Kharif,Jowar,"Nitrogen,O2P5",8000,10974.06918,38kg,65-75,Moderate,"Black gram, Moong, Cowpea, Sorghum"
130,Haryana,47.5,15,29.5,Alluvial,Kharif,Jowar,"Nitrogen,O2P5",8000,10974.06918,38kg,65-75,Moderate,"Black gram, Moong, Cowpea, Sorghum"
131,Karnataka,121.4,22,29.5,Alluvial,Kharif,Jowar,"Nitrogen,O2P5",8000,10974.06918,38kg,65-75,Moderate,"Black gram, Moong, Cowpea, Sorghum"
132,Telangana,87.5,8,29.5,Alluvial,Kharif,Jowar,"Nitrogen,O2P5",8000,10974.06918,38kg,65-75,Moderate,"Black gram, Moong, Cowpea, Sorghum"
133,Uttarakhand,164.5,7.5,29.5,Alluvial,Kharif,Jowar,"Nitrogen,O2P5",8000,10974.06918,38kg,65-75,Moderate,"Black gram, Moong, Cowpea, Sorghum"
134,Lakshadweep,30,3.8,29.5,Alluvial,Kharif,Jowar,"Nitrogen,O2P5",8000,10974.06918,38kg,65-75,Moderate,"Black gram, Moong, Cowpea, Sorghum"
135,Arunachal Pradesh,325,5,31.5,Clayey,Kharif,Paddy CR Dhan 401 (REETA),"Potassium,Urea",22810,63851.8391,25kg,105-124,High,"Gram, Groundnut"
136,Arunachal Pradesh,325,5,31.5,Alluvial,Kharif,Paddy CR Dhan 401 (REETA),"Potassium,Urea",22810,63851.8391,25kg,105-124,High,"Gram, Groundnut"
137,Maharashtra,246,3.2,32,Clayey,Kharif,Paddy CR Dhan 401 (REETA),"Potassium,Urea",22810,63851.8391,25kg,105-124,High,"Gram, Groundnut"
138,Maharashtra,246,3.2,32,Alluvial,Kharif,Paddy CR Dhan 401 (REETA),"Potassium,Urea",22810,63851.8391,25kg,105-124,High,"Gram, Groundnut"
139,Arunachal Pradesh,325,5,29,Clayey,Kharif,Millet MH 1540 (86M64) (Hybrid),"Nitrogen,Magnesium,Potassium,Phosphorus",21570,59556.38316,2.5kg,65-73,Moderate,"Black gram, Moong, Cowpea, Sorghum"
140,Arunachal Pradesh,325,5,29,Black,Kharif,Millet MH 1540 (86M64) (Hybrid),"Nitrogen,Magnesium,Potassium,Phosphorus",21570,59556.38316,2.5kg,65-73,Moderate,"Black gram, Moong, Cowpea, Sorghum"
141,Gujarat,115.7,35,29,Clayey,Kharif,Millet MH 1540 (86M64) (Hybrid),"Nitrogen,Magnesium,Potassium,Phosphorus",21570,59556.38316,2.5kg,65-73,Moderate,"Black gram, Moong, Cowpea, Sorghum"
142,Gujarat,115.7,35,29,Black,Kharif,Millet MH 1540 (86M64) (Hybrid),"Nitrogen,Magnesium,Potassium,Phosphorus",21570,59556.38316,2.5kg,65-73,Moderate,"Black gram, Moong, Cowpea, Sorghum"
143,Madhya Pradesh,235.5,22,29,Clayey,Kharif,Millet MH 1540 (86M64) (Hybrid),"Nitrogen,Magnesium,Potassium,Phosphorus",21570,59556.38316,2.5kg,65-73,Moderate,"Black gram, Moong, Cowpea, Sorghum"
144,Madhya Pradesh,235.5,22,29,Black,Kharif,Millet MH 1540 (86M64) (Hybrid),"Nitrogen,Magnesium,Potassium,Phosphorus",21570,59556.38316,2.5kg,65-73,Moderate,"Black gram, Moong, Cowpea, Sorghum"
145,Punjab,60,8.9,29,Clayey,Kharif,Millet MH 1540 (86M64) (Hybrid),"Nitrogen,Magnesium,Potassium,Phosphorus",21570,59556.38316,2.5kg,65-73,Moderate,"Black gram, Moong, Cowpea, Sorghum"
146,Punjab,60,8.9,29,Black,Kharif,Millet MH 1540 (86M64) (Hybrid),"Nitrogen,Magnesium,Potassium,Phosphorus",21570,59556.38316,2.5kg,65-73,Moderate,"Black gram, Moong, Cowpea, Sorghum"
147,Arunachal Pradesh,325,5,28,Alluvial,Kharif,Sugarcane Karan 5 (Co 0124),Nitrogen,24538,893130.4967,40qq,300-451,High,"Moong, Cowpea, Urad"
148,Arunachal Pradesh,325,5,28,Black,Kharif,Sugarcane Karan 5 (Co 0124),Nitrogen,24538,893130.4967,40qq,300-451,High,"Moong, Cowpea, Urad"
149,Haryana,47.5,15,28,Alluvial,Kharif,Sugarcane Karan 5 (Co 0124),Nitrogen,24538,893130.4967,40qq,300-451,High,"Moong, Cowpea, Urad"
150,Haryana,47.5,15,28,Black,Kharif,Sugarcane Karan 5 (Co 0124),Nitrogen,24538,893130.4967,40qq,300-451,High,"Moong, Cowpea, Urad"
151,Karnataka,121.4,22,28,Alluvial,Kharif,Sugarcane Karan 5 (Co 0124),Nitrogen,24538,893130.4967,40qq,300-451,High,"Moong, Cowpea, Urad"
